word,topic,subtopic,subsubtopic,CEFR_level,word_class,link
aardvark,Animals,Animals,wild_mammals,c2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/aardvark
adder,Animals,Animals,amphibians_and_reptiles,c2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/adder
Afghan hound,Animals,Animals,dogs,c2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/afghan-hound
alligator,Animals,Animals,amphibians_and_reptiles,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/alligator
alpaca,Animals,Animals,farm_animals,c2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/alpaca
Alsatian,Animals,Animals,dogs,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/alsatian
amphibian,Animals,Animals,amphibians_and_reptiles,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/amphibian
amphibious,Animals,Animals,amphibians_and_reptiles,c2,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/amphibious
anaconda,Animals,Animals,amphibians_and_reptiles,c2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/anaconda
angora,Animals,Animals,pets,c2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/angora
animal,Animals,Animals,animals_in_general,a1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/animal_1
anteater,Animals,Animals,wild_mammals,c2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/anteater
antelope,Animals,Animals,wild_mammals,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/antelope
antler,Animals,Animals,parts_of_animals,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/antler
ape,Animals,Animals,wild_mammals,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/ape_1
armadillo,Animals,Animals,wild_mammals,c2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/armadillo
asp,Animals,Animals,amphibians_and_reptiles,c2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/asp
assistance dog,Animals,Animals,dogs,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/assistance-dog
attack dog,Animals,Animals,dogs,c2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/attack-dog
baa,Animals,Animals,animal_behaviour,c2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/baa_1
baa,Animals,Animals,animal_behaviour,c2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/baa_2
baboon,Animals,Animals,wild_mammals,c2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/baboon
badger,Animals,Animals,wild_mammals,c2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/badger_1
bandicoot,Animals,Animals,wild_mammals,c2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/bandicoot
bark,Animals,Animals,animal_behaviour,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/bark_1
bark,Animals,Animals,animal_behaviour,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/bark_2
basset,Animals,Animals,dogs,c2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/basset
bat,Animals,Animals,wild_mammals,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/bat_1
beagle,Animals,Animals,dogs,c2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/beagle
bear,Animals,Animals,wild_mammals,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/bear_2
beast,Animals,Animals,animals_in_general,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/beast
beaver,Animals,Animals,wild_mammals,c2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/beaver_1
behaviour,Animals,Animals,animal_behaviour,a2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/behaviour
