,word,Total,topic,subtopic,subsubtopic,CEFR_level
0,aardvark,12.0,Animals,Animals,wild_mammals,c2
1,adder,462.0,Animals,Animals,amphibians_and_reptiles,c2
2,Afghan hound,,Animals,Animals,dogs,c2
3,alligator,770.0,Animals,Animals,amphibians_and_reptiles,c1
4,alpaca,196.0,Animals,Animals,farm_animals,c2
5,Alsatian,,Animals,Animals,dogs,c1
6,amphibian,664.0,Animals,Animals,amphibians_and_reptiles,c1
7,amphibious,419.0,Animals,Animals,amphibians_and_reptiles,c2
8,anaconda,55.0,Animals,Animals,amphibians_and_reptiles,c2
9,angora,337.0,Animals,Animals,pets,c2
10,animal,77708.0,Animals,Animals,animals_in_general,a1
11,anteater,165.0,Animals,Animals,wild_mammals,c2
12,antelope,3052.0,Animals,Animals,wild_mammals,c1
13,antler,928.0,Animals,Animals,parts_of_animals,c1
14,ape,2973.0,Animals,Animals,wild_mammals,b2
15,armadillo,205.0,Animals,Animals,wild_mammals,c2
16,asp,135.0,Animals,Animals,amphibians_and_reptiles,c2
17,assistance dog,,Animals,Animals,dogs,c1
18,attack dog,,Animals,Animals,dogs,c2
19,baa,235.0,Animals,Animals,animal_behaviour,c2
20,baa,235.0,Animals,Animals,animal_behaviour,c2
21,baboon,636.0,Animals,Animals,wild_mammals,c2
22,badger,1355.0,Animals,Animals,wild_mammals,c2
23,bandicoot,132.0,Animals,Animals,wild_mammals,c2
24,bark,11122.0,Animals,Animals,animal_behaviour,c1
25,bark,11122.0,Animals,Animals,animal_behaviour,c1
26,basset,106.0,Animals,Animals,dogs,c2
27,bat,3204.0,Animals,Animals,wild_mammals,c1
28,beagle,559.0,Animals,Animals,dogs,c2
29,bear,46091.0,Animals,Animals,wild_mammals,a2
30,beast,16096.0,Animals,Animals,animals_in_general,c1
31,beaver,3773.0,Animals,Animals,wild_mammals,c2
32,behaviour,3777.0,Animals,Animals,animal_behaviour,a2
33,big cat,,Animals,Animals,wild_mammals,b1
34,bilby,9.0,Animals,Animals,wild_mammals,c2
35,billy goat,,Animals,Animals,farm_animals,c2
36,bird dog,,Animals,Animals,dogs,c2
37,bison,2420.0,Animals,Animals,wild_mammals,c2
38,bitch,619.0,Animals,Animals,dogs,c2
39,bitzer,2.0,Animals,Animals,dogs,c2
40,blackface,4.0,Animals,Animals,farm_animals,c2
41,bloodhound,497.0,Animals,Animals,dogs,c2
42,blue whale,,Animals,Animals,wild_mammals,c1
43,boa,355.0,Animals,Animals,amphibians_and_reptiles,c2
44,boa constrictor,,Animals,Animals,amphibians_and_reptiles,c2
45,boar,2967.0,Animals,Animals,wild_mammals,c2
46,bobcat,75.0,Animals,Animals,wild_mammals,c2
47,Border collie,,Animals,Animals,dogs,c2
48,borzoi,266.0,Animals,Animals,dogs,c2
49,boxer,228.0,Animals,Animals,dogs,c2
50,breed,13718.0,Animals,Animals,animal_behaviour,c1
51,breed,13718.0,Animals,Animals,groups_of_animals,c1
52,brood mare,,Animals,Animals,farm_animals,c2
53,buck,5234.0,Animals,Animals,wild_mammals,c2
54,buffalo,12467.0,Animals,Animals,farm_animals,c2
55,bull,12351.0,Animals,Animals,farm_animals,b1
56,bulldog,721.0,Animals,Animals,dogs,c2
57,bullfrog,172.0,Animals,Animals,amphibians_and_reptiles,c2
58,bull mastiff,,Animals,Animals,dogs,c2
59,bullock,2394.0,Animals,Animals,farm_animals,c2
60,bull terrier,,Animals,Animals,dogs,c2
61,bunny,851.0,Animals,Animals,pets,c2
62,burrow,2382.0,Animals,Animals,animal_homes,c2
63,bushbaby,,Animals,Animals,wild_mammals,c2
64,bushmaster,8.0,Animals,Animals,amphibians_and_reptiles,c2
65,cage,3548.0,Animals,Animals,animal_homes,b2
66,caiman,26.0,Animals,Animals,amphibians_and_reptiles,c2
67,calf,5856.0,Animals,Animals,farm_animals,c1
68,calico cat,,Animals,Animals,pets,c2
69,calve,50.0,Animals,Animals,farm_animals,c2
70,camel,5195.0,Animals,Animals,working_animals,b1
71,camouflage,161.0,Animals,Animals,animal_behaviour,c1
72,canine,896.0,Animals,Animals,dogs,c2
73,canter,411.0,Animals,Animals,animal_behaviour,c2
74,canter,411.0,Animals,Animals,animal_behaviour,c2
75,capybara,75.0,Animals,Animals,wild_mammals,c2
76,carnivore,184.0,Animals,Animals,animal_behaviour,c2
77,carthorse,109.0,Animals,Animals,working_animals,c2
78,cat,14688.0,Animals,Animals,pets,a1
79,cattle,16340.0,Animals,Animals,farm_animals,c1
80,cayman,122.0,Animals,Animals,amphibians_and_reptiles,c2
81,chameleon,164.0,Animals,Animals,amphibians_and_reptiles,c2
82,chamois,261.0,Animals,Animals,wild_mammals,c2
83,cheetah,106.0,Animals,Animals,wild_mammals,b2
84,chestnut,6180.0,Animals,Animals,farm_animals,c2
85,chihuahua,93.0,Animals,Animals,dogs,c2
86,chimpanzee,496.0,Animals,Animals,wild_mammals,c1
87,chinchilla,137.0,Animals,Animals,farm_animals,c2
88,chipmunk,452.0,Animals,Animals,wild_mammals,c2
89,civet,271.0,Animals,Animals,wild_mammals,c2
90,class,33033.0,Animals,Animals,groups_of_animals,c1
91,claw,3846.0,Animals,Animals,parts_of_animals,c1
92,cloven hoof,,Animals,Animals,parts_of_animals,c2
93,coat,14090.0,Animals,Animals,parts_of_animals,b2
94,coati,74.0,Animals,Animals,wild_mammals,c2
95,cobra,598.0,Animals,Animals,amphibians_and_reptiles,c2
96,cocker,42.0,Animals,Animals,dogs,c2
97,cold-blooded,,Animals,Animals,parts_of_animals,c1
98,collie,822.0,Animals,Animals,dogs,c2
99,colony,20211.0,Animals,Animals,groups_of_animals,c1
100,colt,1359.0,Animals,Animals,farm_animals,c2
101,copperhead,252.0,Animals,Animals,amphibians_and_reptiles,c2
102,coral snake,,Animals,Animals,amphibians_and_reptiles,c2
103,corgi,1.0,Animals,Animals,dogs,c2
104,cottonmouth,541.0,Animals,Animals,amphibians_and_reptiles,c2
105,cougar,479.0,Animals,Animals,wild_mammals,c2
106,cow,13112.0,Animals,Animals,farm_animals,a1
107,coyote,2031.0,Animals,Animals,wild_mammals,c2
108,coypu,10.0,Animals,Animals,wild_mammals,c2
109,creature,26357.0,Animals,Animals,animals_in_general,b2
110,croak,316.0,Animals,Animals,animal_behaviour,c2
111,croak,316.0,Animals,Animals,animal_behaviour,c2
112,croc,14.0,Animals,Animals,amphibians_and_reptiles,c1
113,crocodile,2486.0,Animals,Animals,amphibians_and_reptiles,b1
114,cross-breed,,Animals,Animals,farm_animals,c2
115,cub,1596.0,Animals,Animals,wild_mammals,c1
116,cull,236.0,Animals,Animals,wild_mammals,c2
117,cur,1091.0,Animals,Animals,dogs,c2
118,dachshund,37.0,Animals,Animals,dogs,c2
119,Dalmatian,,Animals,Animals,dogs,c2
120,deer,12928.0,Animals,Animals,wild_mammals,b2
121,deerhound,113.0,Animals,Animals,dogs,c2
122,den,7681.0,Animals,Animals,animal_homes,c1
123,die out,,Animals,Animals,animals_in_general,b2
124,dingo,221.0,Animals,Animals,wild_mammals,c2
125,dinosaur,141.0,Animals,Animals,amphibians_and_reptiles,b2
126,doe,1706.0,Animals,Animals,wild_mammals,c2
127,dog,40174.0,Animals,Animals,pets,a1
128,dogie,5.0,Animals,Animals,farm_animals,c2
129,dolphin,1475.0,Animals,Animals,wild_mammals,b1
130,dolphinarium,,Animals,Animals,animal_homes,c2
131,domestic,13320.0,Animals,Animals,animals_in_general,b2
132,domesticate,71.0,Animals,Animals,animals_in_general,c1
133,domesticated,2362.0,Animals,Animals,animals_in_general,c1
134,donkey,1699.0,Animals,Animals,working_animals,b2
135,dormouse,231.0,Animals,Animals,wild_mammals,c2
136,drey,7.0,Animals,Animals,animal_homes,c2
137,dromedary,325.0,Animals,Animals,working_animals,c2
138,drove,10407.0,Animals,Animals,groups_of_animals,c2
139,duck-billed platypus,,Animals,Animals,wild_mammals,c2
140,dugong,185.0,Animals,Animals,wild_mammals,c2
141,echidna,72.0,Animals,Animals,wild_mammals,c2
142,elephant,10328.0,Animals,Animals,wild_mammals,a1
143,elk,4326.0,Animals,Animals,wild_mammals,c2
144,elkhound,,Animals,Animals,dogs,c2
145,endangered,627.0,Animals,Animals,animals_in_general,b1
146,endoskeleton,11.0,Animals,Animals,parts_of_animals,c2
147,ewe,918.0,Animals,Animals,farm_animals,c2
148,extinct,3819.0,Animals,Animals,animals_in_general,b2
149,extinction,2141.0,Animals,Animals,animals_in_general,b2
150,family,65012.0,Animals,Animals,groups_of_animals,a2
151,fang,2506.0,Animals,Animals,amphibians_and_reptiles,c2
152,farrow,57.0,Animals,Animals,groups_of_animals,c2
153,farrow,57.0,Animals,Animals,animal_behaviour,c2
154,fauna,1584.0,Animals,Animals,animals_in_general,c2
155,fawn,1266.0,Animals,Animals,wild_mammals,c2
156,feed,10484.0,Animals,Animals,pets,a2
157,feline,316.0,Animals,Animals,pets,c2
158,ferret,367.0,Animals,Animals,wild_mammals,c2
159,fetlock,483.0,Animals,Animals,parts_of_animals,c2
160,filly,102.0,Animals,Animals,farm_animals,c2
161,flank,6192.0,Animals,Animals,parts_of_animals,c2
162,fleece,1419.0,Animals,Animals,parts_of_animals,c2
163,flipper,407.0,Animals,Animals,parts_of_animals,c2
164,flock,8730.0,Animals,Animals,groups_of_animals,c1
165,fluff,140.0,Animals,Animals,parts_of_animals,c2
166,flying fox,,Animals,Animals,wild_mammals,c2
167,flying squirrel,,Animals,Animals,wild_mammals,c2
168,foal,547.0,Animals,Animals,farm_animals,c1
169,forefoot,534.0,Animals,Animals,parts_of_animals,c2
170,foreleg,665.0,Animals,Animals,parts_of_animals,c2
171,forelock,207.0,Animals,Animals,parts_of_animals,c2
172,forever home,,Animals,Animals,animal_homes,c2
173,four-legged friend,,Animals,Animals,pets,c2
174,fox,10254.0,Animals,Animals,wild_mammals,b1
175,foxhound,316.0,Animals,Animals,dogs,c2
176,fox terrier,,Animals,Animals,dogs,c2
177,Friesian,,Animals,Animals,farm_animals,c2
178,frog,4768.0,Animals,Animals,amphibians_and_reptiles,a2
179,froglet,,Animals,Animals,amphibians_and_reptiles,c2
180,frogspawn,3.0,Animals,Animals,amphibians_and_reptiles,c2
181,fruit bat,,Animals,Animals,wild_mammals,c2
182,fur,7525.0,Animals,Animals,parts_of_animals,b1
183,furry,310.0,Animals,Animals,parts_of_animals,c1
184,gallop,2340.0,Animals,Animals,animal_behaviour,c1
185,gallop,2340.0,Animals,Animals,animal_behaviour,c1
186,game,27028.0,Animals,Animals,wild_mammals,c2
187,garter snake,,Animals,Animals,amphibians_and_reptiles,c2
188,gecko,28.0,Animals,Animals,amphibians_and_reptiles,c2
189,gelding,163.0,Animals,Animals,farm_animals,c2
190,genet,116.0,Animals,Animals,wild_mammals,c2
191,genus,11302.0,Animals,Animals,groups_of_animals,c1
192,gerbil,,Animals,Animals,pets,c2
193,German shepherd,,Animals,Animals,dogs,c2
194,giant panda,,Animals,Animals,wild_mammals,c1
195,gibbon,1209.0,Animals,Animals,wild_mammals,c2
196,giraffe,620.0,Animals,Animals,wild_mammals,b2
197,goat,7303.0,Animals,Animals,farm_animals,b1
198,golden retriever,,Animals,Animals,dogs,c2
199,gopher,302.0,Animals,Animals,wild_mammals,c2
200,gorilla,600.0,Animals,Animals,wild_mammals,c1
